,Bins,Contribution,accum,step1,step2,mapped
0,0.0,26194,50.0,1.1581686839,50.6145448018,50.0
1,0.0,309182,45.50322523,13.6704936255,64.2850384273,50.3794341312
2,0.01,27711,45.1001936,1.22524289531,65.5102813226,54.8581011374
3,0.02,29311,44.6738914,1.2959869548,66.8062682774,55.2595098268
4,0.03,28450,44.26011168,1.25791780778,68.0641860852,55.6840953739
5,0.04,32879,43.78191612,1.45374620746,69.5179322926,56.0962088745
6,0.05,29147,43.35799916,1.2887356887,70.8066679813,56.5724788142
7,0.06,29648,42.9267956,1.31088742233,72.1175554037,56.9946887334
8,0.07,30844,42.4781973,1.36376860679,73.4813240104,57.4241559061
9,0.08,29600,42.04769186,1.30876510054,74.790089111,57.8709477799
10,0.09,29467,41.61912078,1.3028845006,76.0929736116,58.2997196469
11,0.1,28311,41.20736269,1.25177191762,77.3447455292,58.7265649376
12,0.11,29096,40.78418748,1.2864807218,78.631226251,59.1366649487
13,0.12,30159,40.34555188,1.33348130632,79.9647075573,59.5581361055
14,0.13,32989,39.86575648,1.45860986155,81.4233174189,59.9950053872
15,0.14,34502,39.36395584,1.5255072128,82.9488246317,60.4728687358
16,0.15,30870,38.91497939,1.36491819776,84.3137428294,60.9726487005
17,0.16,31788,38.45265146,1.40550760189,85.7192504313,61.4198171983
18,0.17,31417,37.99571938,1.3891038231,87.1083542544,61.8802834182
19,0.18,30887,37.54649568,1.36566985339,88.4740241078,62.3353755042
20,0.19,31168,37.09318508,1.37809427884,89.8521183866,62.7827902561
21,0.2,36022,36.56927742,1.59271406931,91.444832456,63.2342754436
22,0.21,34103,36.07327988,1.50786541296,92.9526978689,63.7560734231
23,0.22,34590,35.57019937,1.52939813607,94.482096005,64.250073659
24,0.23,34465,35.06893687,1.52387125642,96.0059672614,64.7511283508
25,0.24,37276,34.52679089,1.64815972594,97.6541269874,65.2503723507
26,0.25,37961,33.97468221,1.67844702641,99.3325740138,65.7903351924
27,0.26,36372,33.4456841,1.60818933233,100.940763346,66.3402206263
28,0.27,37470,32.90071657,1.65673744315,102.597500789,66.8670885434
29,0.28,37334,32.35772704,1.65072419809,104.248224987,67.4098615791
30,0.29,38031,31.80460027,1.68154207901,105.929767066,67.9506645819
31,0.3,50720,31.06692338,2.24258668579,108.172353752,68.5015640033
32,0.31,39026,30.49932523,1.725536041,109.897889793,69.2362703917
33,0.32,39919,29.91873919,1.76502006921,111.662909862,69.8015829214
34,0.33,38401,29.3602311,1.69790164277,113.360811505,70.3798310349
35,0.34,40160,28.77613993,1.77567589317,115.136487398,70.9360901047
36,0.35,43374,28.14530402,1.91778302266,117.054270421,71.5178292323
37,0.36,45943,27.47710431,2.03137145318,119.085641874,72.1461248729
38,0.37,43914,26.83841458,1.94165914274,121.027301017,72.8116338555
39,0.38,45502,26.17662882,2.01187262178,123.039173639,73.4477516855
40,0.39,47874,25.48034445,2.11675068998,125.155924329,74.1068725467
41,0.4,66694,24.51034006,2.94887768971,128.104802018,74.8003530994
42,0.41,50667,23.773434,2.24024328882,130.345045307,75.7664514406
43,0.42,55219,22.97032319,2.44151013807,132.786555445,76.5003900955
44,0.43,55393,22.16468171,2.44920355454,135.235759,77.3002669105
45,0.44,62339,21.25801689,2.75632120279,137.992080203,78.1026642088
46,0.45,69081,20.25329573,3.05441898346,141.046499186,79.0056780404
47,0.46,70600,19.22648208,3.12158162494,144.168080811,80.0063533561
48,0.47,61912,18.32602759,2.73744138191,146.905522193,81.0290322011
49,0.48,61937,17.4252095,2.73854675784,149.644068951,81.9258607088
50,0.49,113358,15.7765191,5.0121281847,154.656197135,82.823051355
51,0.5,73393,14.70908377,3.24507422378,157.901271359,84.4651027503
52,0.51,56835,13.88246969,2.51296163815,160.414232997,85.5282396974
53,0.52,55277,13.07851532,2.44407461022,162.858307608,86.3515251386
54,0.53,46406,12.40358169,2.05184301539,164.910150623,87.1522421147
55,0.54,44286,11.75948156,1.95810713657,166.86825776,87.8244579005
56,0.55,49126,11.04498796,2.17210791653,169.040365676,88.4659643499
57,0.56,31665,10.58444895,1.40006915232,170.440434828,89.1775807938
58,0.57,29490,10.15554336,1.30390144645,171.744336275,89.6362652927
59,0.58,25342,9.78696671,1.12049747223,172.864833747,90.0634437508
60,0.59,23549,9.444467634,1.04121991056,173.906053658,90.4305362053
61,0.6,41694,8.838065815,1.8435017602,175.749555418,90.7716560937
62,0.61,21179,8.530036263,0.936430272444,176.68598569,91.3756160336
63,0.62,16379,8.291818404,0.724198093978,177.410183784,91.6824052016
64,0.63,14842,8.075954831,0.656239581832,178.066423366,91.9196637965
65,0.64,13780,7.875537096,0.609283212346,178.675706578,92.1346581225
66,0.65,12869,7.688369037,0.569003313475,179.244709892,92.3342688093
67,0.66,11456,7.521751796,0.506527465939,179.751237358,92.5206831726
68,0.67,11298,7.357432524,0.499541490064,180.250778848,92.6866294736
69,0.68,9138,7.224528513,0.404037009755,180.654815858,92.8502870599
70,0.69,10430,7.072833521,0.461162837792,181.115978695,92.9826558883
71,0.7,8829,6.944423638,0.390374563266,181.506353259,93.1337400292
72,0.71,8113,6.826427333,0.358716596645,181.865069855,93.261632827
73,0.72,7343,6.719629986,0.324671018016,182.189740873,93.379153981
74,0.73,8838,6.591089206,0.390772498601,182.580513372,93.4855212722
75,0.74,6169,6.501366637,0.272762564366,182.853275936,93.6135444397
76,0.75,12431,6.320568895,0.54963712719,183.402913064,93.7029057116
77,0.76,7110,6.217160325,0.314368914353,183.717281978,93.8829754102
78,0.77,6044,6.129255768,0.267235684718,183.984517663,93.9859675715
79,0.78,5951,6.042703813,0.263123686261,184.247641349,94.0735181514
80,0.79,5789,5.958508002,0.255960850237,184.503602199,94.1597215764
81,0.8,6896,5.858211869,0.304906896396,184.808509095,94.2435783446
82,0.81,5901,5.772387119,0.260912934402,185.06942203,94.3434706012
83,0.82,5908,5.68646056,0.261222439662,185.33064447,94.4289497494
84,0.83,5971,5.599617723,0.264007987004,185.594652457,94.5145302964
85,0.84,5888,5.513982046,0.260338138918,185.854990595,94.6010234321
86,0.85,5438,5.434891215,0.240441372187,186.095431968,94.6863142683
87,0.86,5542,5.354287798,0.245039736054,186.340471704,94.7650866134
88,0.87,5590,5.272986264,0.247162057839,186.587633762,94.8453654541
89,0.88,5136,5.198287752,0.227088430959,186.814722192,94.9263396006
90,0.89,6324,5.106310846,0.279615895129,187.094338088,95.0007373138
91,0.9,7028,5.004094892,0.310743281304,187.405081369,95.0923438437
92,0.91,5320,4.926720266,0.2352239978,187.640305367,95.1941481911
93,0.92,5305,4.849563801,0.234560772242,187.874866139,95.2712112429
94,0.93,5618,4.767855031,0.24840007888,188.123266218,95.3480570116
95,0.94,5683,4.685200896,0.251274056296,188.374540274,95.4294367531
96,0.95,6314,4.593369431,0.279173744757,188.653714019,95.5117580545
97,0.96,5588,4.512096985,0.247073627764,188.900787647,95.6032197291
98,0.97,5139,4.437354841,0.22722107607,189.128008723,95.6841649045
99,0.98,10169,4.28945586,0.449622713088,189.577631436,95.7586060742
100,0.99,5807,4.204998255,0.256756720907,189.834388157,95.9059094903
101,1.0,5422,4.12614013,0.239733931592,190.074122088,95.9900269981
102,1.01,5178,4.050830766,0.22894546252,190.303067551,96.0685675746
103,1.02,4810,3.980873632,0.212674328838,190.51574188,96.1435736802
